Key,Team,League,Season,Rank,Games,Wins,Draws,Losses,Points,GoalsFor,GoalsAgainst,GoalDifference,Goals,Possession,PassSuccess,CrossesPerGame,ThroughBallsPerGame,LongBallsPerGame,ShortPassesPerGame,OpenPlayGoals,CounterAttackGoals,SetPieceGoals,PenaltyGoals,OwnGoals,TotalTacklesPerGame,DribbledPastPerGame,TotalAttemptedTacklesPerGame,InterceptionsPerGame,FouledPerGame,FoulsPerGame,YellowCardPerGame,RedCardPerGame,OffsidesPerGame,ClearancesPerGame,ShotsBlockedPerGame,CrossesBlockedPerGame,TiotalSavesPerGame,SixYardSavesPerGame,PenaltyAreaSavesPerGame,OutOfBoxSavesPerGame,TotalShotsPerGame,OutOfBoxShotsPerGame,SixYardBoxShotsPerGame,PenaltyAreaShotsPerGame,GoalsPerGame,SixYardGoalsPerGame,PenaltyAreaGoalsPerGame,OutOfBoxGoalsPerGame,UnsuccessfulDribblesPerGame,SuccessfulDribblesPerGame,TotalDribblesPerGame,DisspossedPergame,TotalAerialDuelsPerGame,AerialDuelsWonPerGame,AerialDuelsLostPerGame,TotalPassesPerGame,AccurateLongBallsPerGame,InAccurateLongBallsPerGame,AccShortPassesPerGame,InAccurateShortPassesPerGame,TotalKeyPassesPerGame,LongKeyPassesPerGame,ShortKeyPassesPerGame,CrossAssistPerGame,CornerAssistPerGame,ThroughballAssistPerGame,FreekickAssistPerGame,ThrowInAssistPergame,OtherAssistPerGame,TotalAssistPerGame,ShotsOnTarget,ShotsOnTargetAgainst,ShotsOnTargetPer90,ShotsOnTargetAgainstPer90,Touches,TouchesDefPen,TouchesDefThird,TouchesMidThird,TouchesAttThird,TouchesAttPen,LiveTouches,NumOfPlayersDribbledPast,Nutmegs,Controlled,DistMovedWithBall,ProgressiveDistMoved,ProgC,ProgressiveIntoFinalThird,ProgressiveInto18Yard,Miscontrols,MiscontrolsAfterTackle,ProgressivePassReceived
West Bromwich DL 2015/2016,West Bromwich,Premier League,2015/2016,14,38,10,13,15,43,34,48,-14,32,42.3,70,23,1,71,255,19,0,12,1,2,16.9,10.3,27.2,19,10.3,10.3,1.7,0.1,1.8,26.1,4.5,3.6,2.9,0.1,1.3,1.4,10.2,4.1,1.3,4.9,0.8,0.3,0.4,0.1,3.8,7.6,11.3,12.7,36.9,19.1,17.8,322.6,27.8,42.2,198.2,54.4,7.4,1.2,6.2,0.4,0.1,0.1,0.1,0,0.2,0.7,108,155,2.842105263,4.078947368,,,,,,,,,,,,,,,,,,
Bournemouth DL 2015/2016,Bournemouth,Premier League,2015/2016,16,38,11,9,18,42,45,67,-22,45,51,79.8,20,1,67,394,28,0,12,3,2,18.6,10.6,29.2,16.8,10.4,9.5,1.4,0,1.7,25.1,2.8,2.3,2.3,0.1,1.6,0.6,12.2,5.7,0.5,6.1,1.2,0.2,0.8,0.2,9.7,10.9,20.7,10.8,30.4,15.3,15.2,454.4,32.4,32.9,330.2,58.9,9.4,1.2,8.2,0.3,0,0,0,0,0.4,0.7,143,152,3.763157895,4,,,,,,,,,,,,,,,,,,
Aston Villa DL 2015/2016,Aston Villa,Premier League,2015/2016,20,38,3,8,27,17,27,76,-49,27,47.3,77.8,21,0,67,341,14,1,7,2,3,19.2,8,27.2,20.2,9.6,11.3,2,0.1,1.1,25.6,2.9,3.4,3,0.1,1.7,1.2,10,4.7,0.4,4.9,0.7,0.1,0.4,0.2,11.1,11.1,22.2,8.9,35.3,19.1,16.3,402.8,31,34.9,282.3,54.5,7.4,1.7,5.8,0.3,0.1,0,0,0,0.2,0.5,110,186,2.894736842,4.894736842,,,,,,,,,,,,,,,,,,
Norwich DL 2015/2016,Norwich,Premier League,2015/2016,19,38,9,7,22,34,39,67,-28,39,46.5,73.6,22,0,74,313,27,0,10,1,1,16,9.3,25.3,12.4,8.1,11,1.6,0.1,2.4,31.9,2.9,2.9,2.7,0.2,1.4,1,11,4.9,0.8,5.3,1,0.2,0.7,0.2,6.3,8.4,14.7,11.2,35.7,17.4,18.3,381.1,29.6,42,251,58.4,8.2,1.3,6.9,0.1,0,0.1,0,0,0.5,0.7,130,165,3.421052632,4.342105263,,,,,,,,,,,,,,,,,,
Chelsea DL 2016/2017,Chelsea,Premier League,2016/2017,1,38,30,3,5,93,85,33,52,85,54,83.9,18,3,63,470,52,7,22,2,2,17.2,8,25.2,13.6,12.3,10.4,1.9,0,1.7,22.1,2.1,2.4,1.8,0.1,1,0.6,15.3,5.7,0.8,8.8,2.2,0.4,1.5,0.3,6.8,13.3,20,11.5,28.8,14.2,14.6,529.6,34.5,28.6,409.7,56.8,11.8,1.9,9.9,0.1,0,0.3,0,0,1.1,1.5,205,105,5.394736842,2.763157895,,,,,,,,,,,,,,,,,,
Tottenham DL 2016/2017,Tottenham,Premier League,2016/2017,2,38,26,8,4,86,86,26,60,86,57.4,82.5,20,1,72,464,61,3,13,7,2,17.4,8.3,25.7,8.3,12,11.4,1.6,0,1.9,26.4,2.6,1.8,2.2,0.1,1.4,0.7,17.6,8.2,1.2,8.2,2.3,0.5,1.4,0.3,8.7,11.9,20.7,12.7,28.4,15,13.3,530.3,39.8,30.3,397.7,62.5,13.3,1.8,11.5,0.3,0.1,0.1,0.1,0,1.1,1.6,257,110,6.763157895,2.894736842,,,,,,,,,,,,,,,,,,
Manchester City DL 2016/2017,Manchester City,Premier League,2016/2017,3,38,23,9,6,78,80,39,41,80,60.9,85.5,21,3,53,548,51,6,11,7,5,16.9,10.8,27.6,13.1,11.2,10.4,1.9,0.1,2.3,23.8,1.8,1.7,1.7,0.1,0.9,0.7,16.7,6.3,1.3,9,2.1,0.4,1.4,0.2,6.9,13.2,20.2,12.2,29.5,15.4,14.1,597.6,26.4,26.1,484.8,60.3,12.8,1.5,11.3,0.3,0.1,0.2,0.1,0,0.9,1.4,215,105,5.657894737,2.763157895,,,,,,,,,,,,,,,,,,
Manchester United DL 2016/2017,Manchester United,Premier League,2016/2017,6,38,18,15,5,69,54,29,25,54,55,84.2,23,3,65,471,41,3,7,3,0,18.2,9.6,27.7,15.3,11.6,13.1,2.1,0.1,2.6,29.2,2.6,2.2,2.2,0.1,1.1,1.1,15.6,6.5,1.2,7.9,1.4,0.3,0.9,0.2,7.3,10.6,17.9,10.3,29.9,16.4,13.6,532.8,34.2,29.6,414.4,54.5,11.9,1.6,10.3,0.2,0.1,0.2,0,0,0.7,1.1,207,116,5.447368421,3.052631579,,,,,,,,,,,,,,,,,,
Arsenal DL 2016/2017,Arsenal,Premier League,2016/2017,5,38,23,6,9,75,77,44,33,77,56.5,83.8,18,3,53,515,55,2,12,4,4,17.7,9.6,27.3,14.2,10.2,10.5,1.8,0.1,2.5,22,2.5,2.3,3.2,0.2,1.9,1.1,14.9,4.9,1.1,8.9,2,0.6,1.2,0.2,6,12.1,18,12.3,32.4,16.7,15.7,563.1,25.7,26.3,446,65.1,11.4,1.3,10.1,0.3,0.1,0.2,0,0,0.9,1.4,201,167,5.289473684,4.394736842,,,,,,,,,,,,,,,,,,
Liverpool DL 2016/2017,Liverpool,Premier League,2016/2017,4,38,22,10,6,76,78,42,36,78,58.3,82.4,21,2,68,524,55,2,13,7,1,18.9,10.5,29.4,10.8,9.9,10.4,1.4,0,2,23.2,1.7,2.3,1.9,0.1,1.1,0.7,16.8,6.8,0.8,9.2,2.1,0.3,1.4,0.3,7.8,10.9,18.7,12.4,38.3,17.3,21,586.4,32.3,35.2,451.1,67.8,13.2,1.6,11.6,0.4,0.1,0.1,0,0,0.9,1.4,236,114,6.210526316,3,,,,,,,,,,,,,,,,,,
Everton DL 2016/2017,Everton,Premier League,2016/2017,7,38,17,10,11,61,62,44,18,62,51.5,79,20,1,79,388,41,2,12,3,4,18.8,10.3,29.1,12.1,10.8,12.1,1.9,0.1,2.2,29.4,3.9,2.5,2.5,0.1,1.7,0.8,13.2,5.2,0.9,7.1,1.6,0.3,1.2,0.1,6.4,10.6,17,12.3,35.2,17.5,17.7,462.7,37.2,40.8,328.5,56.2,10.4,1.5,8.9,0.3,0.1,0.2,0,0,0.7,1.2,192,148,5.052631579,3.894736842,,,,,,,,,,,,,,,,,,
West Ham DL 2016/2017,West Ham,Premier League,2016/2017,11,38,12,9,17,45,47,64,-17,47,48.4,78.2,20,1,70,332,24,3,16,3,1,15.1,8.8,23.9,16.2,12,10.7,2.1,0.1,1.9,28.3,2.9,2.9,3,0.1,1.8,1.1,13.1,6.1,1.1,6,1.2,0.4,0.6,0.2,6.9,10.7,17.6,9.7,37.1,19.1,17.9,398.1,32.1,36.9,279.3,49.8,9.4,1.8,7.6,0.3,0.1,0,0,0,0.4,0.8,136,182,3.578947368,4.789473684,,,,,,,,,,,,,,,,,,
Southampton DL 2016/2017,Southampton,Premier League,2016/2017,8,38,12,10,16,46,41,48,-7,41,53.1,80.5,25,2,62,421,29,0,7,3,2,17.8,8.7,26.5,13.5,10.9,11.3,1.6,0.1,1.9,24.1,3.4,2.6,2,0.1,1,0.9,14.5,5.5,0.9,8.1,1.1,0.2,0.7,0.1,4.6,8.4,13.1,12,35.5,17.1,18.5,480,27.9,33.5,358.4,60.1,10.4,1.8,8.6,0.2,0.1,0.1,0,0,0.4,0.7,179,130,4.710526316,3.421052632,,,,,,,,,,,,,,,,,,
Stoke DL 2016/2017,Stoke,Premier League,2016/2017,13,38,11,11,16,44,41,56,-15,41,47.2,75.3,19,1,67,320,24,0,9,4,4,17.5,9.5,27.1,13.1,11.4,11.4,1.8,0.1,2.2,26.6,4.2,2.5,3.3,0.2,1.7,1.4,11.2,4.2,1.1,5.8,1.1,0.3,0.6,0.1,6.1,9.6,15.7,10.9,39,21.3,17.7,383.1,31.2,34.8,257.3,59.8,7.9,1.6,6.3,0.3,0,0,0,0,0.3,0.6,135,180,3.552631579,4.736842105,,,,,,,,,,,,,,,,,,
Crystal Palace DL 2016/2017,Crystal Palace,Premier League,2016/2017,14,38,12,5,21,41,50,63,-13,50,46.7,73.4,23,1,73,288,32,0,12,4,2,18.4,10.2,28.6,14.5,12.2,12.4,2,0,1.4,26.9,3.3,2.6,2.8,0.1,1.7,1,11.6,4.3,0.9,6.4,1.3,0.3,0.9,0.1,6.9,10.3,17.3,13.1,39.7,22,17.8,356.2,30.5,41.3,231,53.4,8.2,1.7,6.5,0.4,0.1,0.1,0,0,0.4,0.9,137,176,3.605263158,4.631578947,,,,,,,,,,,,,,,,,,
Bournemouth DL 2016/2017,Bournemouth,Premier League,2016/2017,9,38,12,10,16,46,55,67,-12,55,51.3,81.3,17,1,66,391,32,2,12,7,2,15.9,10.1,26,12.1,12.6,9.7,1.4,0.1,1.4,28.7,3.9,2.9,3.2,0.1,1.8,1.3,11.9,5.3,0.6,6,1.4,0.2,1.1,0.1,7.1,11.3,18.3,11.6,30.6,14.4,16.2,451.4,31.3,33.5,335.6,51.1,8.9,1,7.9,0.2,0,0.1,0.1,0,0.6,0.9,160,189,4.210526316,4.973684211,,,,,,,,,,,,,,,,,,
Middlesbrough DL 2016/2017,Middlesbrough,Premier League,2016/2017,19,38,5,13,20,28,27,53,-26,27,47.9,77.3,19,1,76,342,14,3,7,2,1,19.1,11.6,30.7,14.4,10.3,12.7,2,0,1.3,28.7,3.9,3.3,3.1,0.3,1.5,1.3,9.2,3.9,0.6,4.7,0.7,0.2,0.4,0,5.6,10.5,16.1,9.4,40.5,20.3,20.2,414.1,35.7,39.5,284.6,54.4,6.6,1.3,5.3,0.3,0.1,0.1,0,0,0.2,0.6,98,171,2.578947368,4.5,,,,,,,,,,,,,,,,,,
Burnley DL 2016/2017,Burnley,Premier League,2016/2017,16,38,11,7,20,40,39,55,-16,39,42.7,67.8,17,1,85,250,19,2,12,6,0,16.7,10.9,27.6,14.1,10.7,11.3,1.7,0.1,2.7,32.4,5.8,3.3,4,0.1,2.2,1.7,10.3,4.7,0.7,4.9,1,0.2,0.6,0.2,3.3,4.7,8.1,8.8,48.1,24,24.1,330.6,34.1,49.6,190.1,56.8,7,1.2,5.8,0.2,0.1,0.1,0,0,0.3,0.6,121,208,3.184210526,5.473684211,,,,,,,,,,,,,,,,,,
Leicester DL 2016/2017,Leicester,Premier League,2016/2017,12,38,12,8,18,44,48,63,-15,48,43.7,70.1,19,1,75,289,28,4,10,4,2,17.8,11.4,29.3,14.1,8.6,11.9,1.9,0,1.7,27.1,3.7,3.3,3.4,0.2,1.7,1.5,11.4,4.8,0.9,5.7,1.3,0.2,0.8,0.2,7.2,8,15.2,8.1,46.3,20.2,26.1,359.9,26.6,46.9,225.7,60.7,7.9,1.6,6.2,0.3,0,0.1,0,0,0.4,0.9,145,190,3.815789474,5,,,,,,,,,,,,,,,,,,
West Bromwich DL 2016/2017,West Bromwich,Premier League,2016/2017,10,38,12,9,17,45,43,51,-8,43,40.7,70.4,20,1,70,243,19,3,20,1,0,15.9,9.2,25.1,14.1,8.9,11.8,2.1,0,1.5,26.3,3.9,2.9,2.9,0.2,1.4,1.3,10.5,4.2,1,5.3,1.1,0.3,0.7,0.2,4.8,8.1,12.8,11.7,36.8,17.7,19,311.1,27.9,41.8,191.3,50.1,7.6,1.8,5.8,0.4,0.3,0.1,0.1,0,0.4,0.9,124,160,3.263157895,4.210526316,,,,,,,,,,,,,,,,,,
Swansea DL 2016/2017,Swansea,Premier League,2016/2017,15,38,12,5,21,41,45,70,-25,45,48.3,78.9,23,0,69,361,24,1,17,3,0,16.7,10.3,27.1,12,11,10.6,1.5,0,1.3,27.2,3.6,2.5,3.1,0.2,1.6,1.4,10.7,4.2,0.8,5.8,1.2,0.3,0.7,0.1,5.7,8.3,14,11.8,35.4,17.8,17.5,424.5,34,33.9,300.8,55.8,7.9,1.4,6.5,0.4,0.1,0.1,0.1,0,0.4,0.8,145,179,3.815789474,4.710526316,,,,,,,,,,,,,,,,,,
Watford DL 2016/2017,Watford,Premier League,2016/2017,17,38,11,7,20,40,40,68,-28,40,47,74,18,1,71,304,25,0,11,3,1,16.2,9.7,26,13.5,10.7,13.6,2.2,0.1,1.6,26.7,3.7,3,3.2,0.1,1.8,1.3,11.1,5,0.6,5.5,1.1,0.2,0.7,0.1,7,8.9,15.9,10.3,39.1,19.1,20,369.7,28.6,39.8,245,56.2,7.9,1.6,6.3,0.3,0.1,0,0.1,0,0.4,0.7,143,187,3.763157895,4.921052632,,,,,,,,,,,,,,,,,,
Sunderland DL 2016/2017,Sunderland,Premier League,2016/2017,20,38,6,6,26,24,29,69,-40,29,42.8,72.6,16,1,69,260,18,0,5,5,1,16.6,9.1,25.7,14.4,10.2,11.5,2.1,0.1,2.1,30.8,4.5,3.5,4.6,0.1,2.3,2.2,10.2,4.4,0.6,5.1,0.8,0.1,0.5,0.1,5,8.4,13.4,10.3,31.5,16.2,15.3,325.2,27.6,40.7,208.6,48.4,7,1.1,5.9,0,0,0.1,0,0,0.2,0.3,122,248,3.210526316,6.526315789,,,,,,,,,,,,,,,,,,
Hull DL 2016/2017,Hull,Premier League,2016/2017,18,38,9,7,22,34,37,80,-43,37,46.7,77.4,20,1,71,344,16,3,14,3,1,16.6,10,26.7,14.9,10,10.6,1.8,0.1,1.9,29.1,4.9,2.8,3.5,0.2,1.8,1.5,10.4,4.3,0.7,5.4,1,0.2,0.6,0.1,4.1,6.9,11,10.5,32.4,15.5,16.9,410.7,28.8,40.8,289,52,7.2,1.6,5.6,0.1,0,0.1,0.1,0,0.5,0.7,126,214,3.315789474,5.631578947,,,,,,,,,,,,,,,,,,
Manchester City DL 2017/2018,Manchester City,Premier League,2017/2018,1,38,32,4,2,100,106,27,79,106,66.4,89,18,3,48,699,78,4,15,6,3,14.8,9.6,24.4,9.1,9.3,9.1,1.6,0.1,1.8,15.5,1.4,1.2,1.6,0.1,1,0.5,17.5,6.7,1.5,9.3,2.8,0.7,1.7,0.3,6,13.2,19.3,10.7,25.1,13.8,11.3,743.2,28.3,18.4,633.3,63.2,13.2,1.4,11.8,0.5,0.1,0.3,0,0,1.4,2.2,255,82,6.710526316,2.157894737,896.1,52.4,198.6,489.9,266.1,37.7,851.5,11.9,0.58,636.9,3119.5,1821.9,83.2,24.2,7.61,12.8,13.3,53.7
Liverpool DL 2017/2018,Liverpool,Premier League,2017/2018,4,38,21,12,5,75,84,38,46,84,58,83.8,20,3,63,546,60,9,11,2,2,16.8,8.6,25.3,10,8,9.1,1.2,0,1.8,19.4,1.9,1.9,1.7,0.1,1,0.7,16.8,6.5,1.2,9.1,2.2,0.4,1.5,0.2,5.6,11.6,17.2,11.8,33.1,15.7,17.4,604.3,31.1,31.2,475,66.9,12.9,1.8,11.1,0.3,0.1,0.1,0,0,1.1,1.5,228,96,6,2.526315789,768.5,53.7,202.3,412.6,203.8,32.9,722.2,12.8,0.66,523,2654,1480.9,63.7,18.3,5.47,14.6,12.8,51.5
Manchester United DL 2017/2018,Manchester United,Premier League,2017/2018,2,38,25,6,7,81,68,28,40,68,53.9,83.6,20,2,62,470,48,4,14,1,1,14.8,10.1,24.9,12.7,11.1,10.7,1.7,0,2.3,22.4,2.9,2.1,3.1,0.1,1.7,1.2,13.5,5.6,1.2,6.7,1.8,0.3,1.1,0.3,7.1,12.3,19.4,10.5,30,16.6,13.4,528,30.2,30.6,411,56.2,9.9,1.2,8.8,0.4,0,0.1,0.1,0,0.9,1.4,176,143,4.631578947,3.763157895,692.6,61.2,190.4,357.4,187.5,26.6,645.7,12.8,1.03,455,2285.4,1276.1,57.4,16.2,5.18,12.6,13.9,37.8
Tottenham DL 2017/2018,Tottenham,Premier League,2017/2018,3,38,23,8,7,77,74,36,38,74,58.8,83.8,22,2,66,509,48,8,12,2,4,16.3,8.6,24.8,10,10.4,10.1,1.3,0.1,2.3,21.7,1.9,1.9,2.4,0.1,1.6,0.8,16.4,7,1,8.4,1.9,0.4,1.2,0.3,7.4,11.5,18.9,12.1,32,16.3,15.7,570,35.6,28.8,442.1,63.5,12.3,2.2,10.1,0.4,0.1,0.3,0.1,0,0.7,1.3,212,123,5.578947368,3.236842105,743.9,58.8,196.3,377.7,218.3,28.4,692.4,12.9,0.95,493.5,2507.2,1349.3,61,17.9,4.32,13.8,14.5,50.2
Chelsea DL 2017/2018,Chelsea,Premier League,2017/2018,5,38,21,7,10,70,62,38,24,62,54.4,84.3,20,2,57,509,45,1,11,3,2,16.7,9,25.7,11.1,10.7,9.6,1.1,0.1,2.8,20.2,2.8,2.2,2.1,0.1,1.1,1,15.9,6.5,0.9,8.5,1.6,0.3,1,0.3,5.8,13.5,19.3,10.8,29.9,16.2,13.7,559.6,29.8,26.5,441.8,61.4,12.8,1.6,11.3,0.4,0.1,0.1,0.1,0,0.6,1.1,209,116,5.5,3.052631579,722.3,66.5,228.8,342.7,199.9,29.6,677.4,12.6,1.08,477.7,2534.3,1436.8,62.1,17,5.87,13.1,11.2,45.2
Arsenal DL 2017/2018,Arsenal,Premier League,2017/2018,6,38,19,6,13,63,74,51,23,74,58.5,84.3,15,3,54,571,54,0,15,4,1,16.4,9.6,25.9,11.3,9.9,10.1,1.5,0.1,2.3,21.8,2.7,2,2.5,0.2,1.6,0.7,15.6,5.9,1.1,8.6,1.9,0.4,1.4,0.2,4.3,10.1,14.4,10.8,34.7,17,17.7,619.1,27.5,25,494.1,72.5,11.7,1.1,10.7,0.3,0.1,0.2,0.1,0,1.1,1.6,227,142,5.973684211,3.736842105,776.6,63,209.4,392.9,222.1,33.1,731.7,11.5,0.79,513.8,2541.4,1347.8,64.3,18.5,4.97,12.9,11.9,50.9
Crystal Palace DL 2017/2018,Crystal Palace,Premier League,2017/2018,11,38,11,11,16,44,45,55,-10,45,46.9,75.4,19,1,64,317,23,3,10,8,1,18,10.7,28.7,14.5,10.6,11.2,1.9,0,1.5,26.9,3.1,2.6,3.1,0.1,1.6,1.3,12.5,4.6,0.9,7.1,1.2,0.2,0.8,0.2,6.3,12.7,19,12.7,39.2,20.2,18.9,378.2,25.6,38,259.6,55.1,8.8,1.7,7.1,0.2,0,0,0,0,0.5,0.7,133,167,3.5,4.394736842,558.4,61.1,182,258.7,150.2,24.1,507.8,13.3,0.5,321.4,1653.2,890.5,38.1,12.3,4.42,13.8,13.8,32
Burnley DL 2017/2018,Burnley,Premier League,2017/2018,7,38,14,12,12,54,36,39,-3,36,45.1,70.5,19,0,81,282,27,0,8,0,1,14,9.2,23.2,10.6,11.1,9.2,1.7,0,2.6,31.2,5,3.5,3.2,0.1,1.9,1.2,9.9,3.5,0.8,5.7,0.9,0.2,0.6,0.1,3.4,5.7,9.1,9.1,51.2,25.2,26.1,357.2,31.7,47.9,220.1,57.3,7.3,2.2,5.1,0.3,0.1,0.1,0,0,0.4,0.7,126,160,3.315789474,4.210526316,523.1,66.4,178.7,239,129.5,17.6,474.6,7.21,0.53,272.8,1318.1,658.2,25.8,8.42,1.89,12.2,10.6,26.7
Leicester DL 2017/2018,Leicester,Premier League,2017/2018,9,38,12,11,15,47,56,60,-4,56,48.3,74.7,20,2,71,333,29,7,12,5,3,16.6,10.7,27.3,10.9,9.4,9.6,1.4,0.1,2.4,24.2,3.4,2.9,2.8,0.1,1.4,1.2,11.1,4.3,1,5.8,1.5,0.4,0.8,0.2,7.8,11.1,18.9,9.4,40.9,20.9,20,400,31.2,39,267.5,62.3,7.8,1.6,6.3,0.3,0.1,0.2,0,0,0.6,1,137,161,3.605263158,4.236842105,571.5,62.9,187.2,279,140,19.4,520.4,12,0.71,322.8,1751.5,927.8,34.6,10.6,3.11,12.3,12.1,29.2
West Ham DL 2017/2018,West Ham,Premier League,2017/2018,13,38,10,12,16,42,48,68,-20,48,46.4,75.5,19,1,69,313,32,4,10,2,0,16.4,10.1,26.5,12.8,11.8,10,1.9,0.1,2.6,26.5,4.1,2.6,3.2,0.2,1.5,1.5,9.8,3.7,0.7,5.4,1.3,0.3,0.8,0.2,5.7,11.1,16.9,10.2,40.7,19.8,21,378,29.2,38.4,256.2,54.2,7.3,1.8,5.5,0.2,0.1,0.1,0,0,0.5,0.9,128,180,3.368421053,4.736842105,547.1,63.2,174.7,270.9,132,17.6,495.6,10.8,0.58,309.9,1570.4,790,31.8,9.76,2.53,12.4,12.5,26.7
Newcastle DL 2017/2018,Newcastle,Premier League,2017/2018,10,38,12,8,18,44,39,47,-8,39,43.8,72.3,16,2,69,303,23,4,11,0,1,16.9,10.9,27.9,11.6,9.7,10.8,1.4,0.1,1.7,29.6,3.1,2.9,2.7,0.3,1.8,0.6,11.9,5.6,0.9,5.4,1,0.3,0.6,0.1,6.1,8,14.1,10.8,48.5,23.8,24.8,369.2,27.1,41.6,239.9,60.6,8.5,1.4,7.1,0.2,0.1,0.1,0,0,0.5,0.8,152,145,4,3.815789474,539.7,63.3,198.2,239.1,132.3,18.1,491.3,9.92,0.66,291.3,1448.1,773,28.3,9.84,2.21,12.7,12.2,27.4
Stoke DL 2017/2018,Stoke,Premier League,2017/2018,19,38,7,12,19,33,35,68,-33,35,43.7,71.5,16,1,68,276,22,2,10,0,1,17.9,9.8,27.7,12.1,9.9,11.5,1.6,0,2.3,30.6,3.7,3,3.9,0.3,2.1,1.6,10.1,4,0.8,5.2,0.9,0.2,0.5,0.2,4.8,8.6,13.3,10.6,47.2,26,21.1,339.2,28.5,38.1,214.2,58.5,7.7,1.2,6.5,0.2,0.1,0.1,0.1,0,0.3,0.8,122,212,3.210526316,5.578947368,507.9,70.5,177.6,233.4,123.8,18.2,458.4,10.3,0.71,265.4,1360.6,687.1,26,8.84,2.32,12.9,10.7,27.4
Brighton DL 2017/2018,Brighton,Premier League,2017/2018,15,38,9,13,16,40,34,54,-20,34,45.1,74.9,18,1,75,316,23,0,5,5,1,15.7,11.5,27.1,11.9,7.3,10.9,1.4,0.1,2.6,28.6,5,2.9,3.2,0.2,1.7,1.3,10.1,4,0.9,5.1,0.9,0.3,0.5,0.1,4.9,7.8,12.7,7.9,42.4,21.4,21,386.1,33.9,39.2,255.4,57.7,7.5,1.6,5.9,0.2,0,0.1,0,0,0.4,0.7,113,171,2.973684211,4.5,547.4,72.1,210.5,243,124.6,17.3,502.6,8.82,0.32,305.9,1623.3,861.1,30.6,9.45,2.97,12.2,10.2,27.1
Everton DL 2017/2018,Everton,Premier League,2017/2018,8,38,13,10,15,49,44,58,-14,44,46.7,74.3,17,1,73,321,29,2,6,5,2,16.9,10.2,27.2,13.5,9.6,12.1,1.3,0.1,2.2,32.3,4.2,2.7,3.2,0.2,1.7,1.3,9.4,3.4,0.7,5.4,1.2,0.2,0.7,0.2,5.2,6.9,12.1,10,43.2,20.4,22.9,388.1,28.8,42.9,259.7,56.7,7,1.4,5.6,0.1,0.1,0.1,0,0,0.5,0.7,108,175,2.842105263,4.605263158,563.3,67.8,194.1,263.3,135.7,17.9,515.2,9.03,0.53,313.4,1528.1,760.4,28.6,8.66,2.45,14.4,11.5,29.1
Southampton DL 2017/2018,Southampton,Premier League,2017/2018,17,38,7,15,16,36,37,56,-19,37,51,77.5,21,1,67,388,19,2,12,3,1,17.3,9.5,26.8,12.2,9.9,10.9,1.7,0.1,1.9,25.1,3.4,2.5,2.9,0.1,1.6,1.2,11.8,4.7,0.9,6.2,1,0.2,0.7,0.1,4,10,14,10,40.4,18.5,22,451.9,25.7,41.2,324.4,60.6,9,1.6,7.5,0.2,0.1,0,0,0,0.4,0.6,138,165,3.631578947,4.342105263,617.2,57.7,188.3,304.2,162.3,21.3,567.6,10.5,0.61,373.4,1883.9,1019.6,41.4,12.9,3.37,11.6,11.2,35.6
Watford DL 2017/2018,Watford,Premier League,2017/2018,14,38,11,8,19,41,44,64,-20,44,49.3,75.5,19,1,65,352,29,1,9,3,2,17.6,9.8,27.4,12.3,10,11.6,1.7,0.1,1.9,25.1,2.6,1.9,2.4,0.2,1.4,0.8,11.6,4.3,0.8,6.4,1.2,0.3,0.7,0.2,6.1,8.7,14.9,10.8,46.4,22.6,23.8,411.9,28.2,35.2,283,65.6,8.5,1.2,7.3,0.2,0.1,0,0,0,0.5,0.7,128,151,3.368421053,3.973684211,584,59,181.6,279,154.6,23.5,533.2,9.55,0.89,326.3,1644.7,886.2,37.6,11.9,3.82,13.8,12.5,32.2
Bournemouth DL 2017/2018,Bournemouth,Premier League,2017/2018,12,38,11,11,16,44,45,61,-16,45,48.5,77,19,1,62,368,26,0,16,3,0,13.4,8.6,22,9.7,10.8,8.9,1.4,0,1.4,27.3,4.2,2.9,2.9,0.2,1.6,1.2,12.2,5.1,0.7,6.5,1.2,0.2,0.8,0.2,7.8,9,16.8,11,39.1,19,20.1,424.5,26.3,34.2,300.7,63.3,9.2,1.3,7.9,0.2,0.1,0.1,0.1,0,0.6,0.9,153,171,4.026315789,4.5,601.2,69.2,211.1,274.4,155,23.8,548.7,10.6,0.71,343.7,1946.4,1082,43,12.7,4.21,14,13.9,33.6
West Bromwich DL 2017/2018,West Bromwich,Premier League,2017/2018,20,38,6,13,19,31,31,56,-25,31,42.8,72.4,21,1,72,279,14,2,14,1,0,15.9,10.8,26.7,12.3,9.1,11.6,1.9,0,2.1,26.1,3.9,2.6,2.6,0.1,1.3,1.2,9.9,3.8,1.1,5,0.8,0.4,0.4,0.1,5.4,8.5,13.9,11.7,42.3,21.1,21.2,347.8,29.3,41.8,222.5,54.3,7.2,1.7,5.4,0.3,0.1,0.1,0.1,0,0.2,0.6,106,155,2.789473684,4.078947368,514.2,64.7,185.7,228.4,129.4,17.1,465.8,9.76,0.76,281.3,1463.5,761.4,28.4,8.89,2.11,13.6,13.1,26
