Key,Team,League,Season,Rank,Games,Wins,Draws,Losses,Points,GoalsFor,GoalsAgainst,GoalDifference,Goals,Possession,PassSuccess,CrossesPerGame,ThroughBallsPerGame,LongBallsPerGame,ShortPassesPerGame,OpenPlayGoals,CounterAttackGoals,SetPieceGoals,PenaltyGoals,OwnGoals,TotalTacklesPerGame,DribbledPastPerGame,TotalAttemptedTacklesPerGame,InterceptionsPerGame,FouledPerGame,FoulsPerGame,YellowCardPerGame,RedCardPerGame,OffsidesPerGame,ClearancesPerGame,ShotsBlockedPerGame,CrossesBlockedPerGame,TiotalSavesPerGame,SixYardSavesPerGame,PenaltyAreaSavesPerGame,OutOfBoxSavesPerGame,TotalShotsPerGame,OutOfBoxShotsPerGame,SixYardBoxShotsPerGame,PenaltyAreaShotsPerGame,GoalsPerGame,SixYardGoalsPerGame,PenaltyAreaGoalsPerGame,OutOfBoxGoalsPerGame,UnsuccessfulDribblesPerGame,SuccessfulDribblesPerGame,TotalDribblesPerGame,DisspossedPergame,TotalAerialDuelsPerGame,AerialDuelsWonPerGame,AerialDuelsLostPerGame,TotalPassesPerGame,AccurateLongBallsPerGame,InAccurateLongBallsPerGame,AccShortPassesPerGame,InAccurateShortPassesPerGame,TotalKeyPassesPerGame,LongKeyPassesPerGame,ShortKeyPassesPerGame,CrossAssistPerGame,CornerAssistPerGame,ThroughballAssistPerGame,FreekickAssistPerGame,ThrowInAssistPergame,OtherAssistPerGame,TotalAssistPerGame,ShotsOnTarget,ShotsOnTargetAgainst,ShotsOnTargetPer90,ShotsOnTargetAgainstPer90,Touches,TouchesDefPen,TouchesDefThird,TouchesMidThird,TouchesAttThird,TouchesAttPen,LiveTouches,NumOfPlayersDribbledPast,Nutmegs,Controlled,DistMovedWithBall,ProgressiveDistMoved,ProgC,ProgressiveIntoFinalThird,ProgressiveInto18Yard,Miscontrols,MiscontrolsAfterTackle,ProgressivePassReceived
Swansea DL 2014/2015,Swansea,Premier League,2014/2015,8,38,16,8,14,56,46,49,-3,45,50.7,82.1,17,1,62,415,36,1,4,2,3,16.7,9.8,26.5,18.2,12.2,10.5,1.3,0.1,2.1,31.6,3.8,3.8,3.7,0.3,1.8,1.6,11.2,5.3,0.5,5.3,1.2,0.1,0.8,0.2,9.3,9.2,18.6,9.6,31.7,14.4,17.3,470.4,28.7,31.6,357.5,52.6,8.4,0.9,7.4,0.2,0,0.2,0,0,0.5,0.9,146,188,3.842105263,4.947368421,,,,,,,,,,,,,,,,,,
West Ham DL 2014/2015,West Ham,Premier League,2014/2015,12,38,12,11,15,47,44,47,-3,45,46.7,74.6,26,1,69,293,29,1,12,1,1,17,8.7,25.7,13.3,11,11.1,1.7,0.1,2.4,38.8,4.3,3.4,3.4,0.2,1.9,1.3,12.9,4.6,1.2,7,1.2,0.3,0.6,0.2,8.1,6.8,14.9,10.6,42.3,22.9,19.4,357,28.9,38.1,237.4,52.6,9.7,2.3,7.4,0.3,0.1,0.1,0,0,0.5,0.9,153,174,4.026315789,4.578947368,,,,,,,,,,,,,,,,,,
Leicester DL 2014/2015,Leicester,Premier League,2014/2015,14,38,11,8,19,41,46,55,-9,51,44.8,71.1,24,1,73,282,27,3,12,3,1,20.8,9.5,30.3,19.6,9.2,12,1.3,0.1,1.6,31,4.3,3.3,3.2,0.2,1.5,1.6,12,4.4,0.8,6.8,1.3,0.3,0.7,0.2,9,9.2,18.2,9.3,51.6,23.4,28.1,351.1,26.9,44.3,222.6,57.3,8.7,1.5,7.2,0.3,0.1,0,0,0,0.4,0.7,137,172,3.605263158,4.526315789,,,,,,,,,,,,,,,,,,
Crystal Palace DL 2014/2015,Crystal Palace,Premier League,2014/2015,10,38,13,9,16,48,47,51,-4,46,42.7,69.4,22,1,69,251,22,0,19,5,1,20.8,8.9,29.8,15.8,11.4,13.9,1.7,0.1,2,33.4,4.1,2.8,2.4,0.2,1.2,1,11.6,4.4,1.2,6.1,1.2,0.4,0.7,0.2,13,9.4,22.4,8.6,46.3,23.7,22.6,317.6,24.9,43.8,195.7,53.3,8.4,1.6,6.9,0.3,0.1,0,0.1,0,0.4,0.7,139,144,3.657894737,3.789473684,,,,,,,,,,,,,,,,,,
Everton DL 2014/2015,Everton,Premier League,2014/2015,11,38,12,11,15,47,48,50,-2,48,53.6,82.5,18,2,70,432,26,5,11,4,2,17.4,9,26.4,11.7,11.8,10.3,1.7,0.1,2.2,33.8,4.3,4.1,2.1,0.1,1.2,0.9,12.7,6.3,0.6,5.9,1.3,0.2,0.8,0.2,8.7,10.3,19,12.1,32.3,15.3,17.1,494.8,33.4,33.9,374.6,52.8,9.3,1,8.3,0.4,0,0.1,0.1,0,0.3,0.8,167,128,4.394736842,3.368421053,,,,,,,,,,,,,,,,,,
Burnley DL 2014/2015,Burnley,Premier League,2014/2015,19,38,7,12,19,33,28,53,-25,29,44,70.3,21,0,81,283,19,0,7,1,1,16.1,10.6,26.7,14.9,10.5,10.7,1.7,0.1,1.7,38.8,4.7,3.6,3.3,0.2,1.7,1.5,11.3,4.7,0.8,5.8,0.8,0.2,0.4,0.1,6.9,6.4,13.3,9,49.6,25.1,24.5,358.5,34.1,45.4,218.1,60.9,8.4,1.9,6.6,0.2,0.1,0,0,0,0.3,0.5,124,178,3.263157895,4.684210526,,,,,,,,,,,,,,,,,,
West Bromwich DL 2014/2015,West Bromwich,Premier League,2014/2015,13,38,11,11,16,44,38,51,-13,37,44.9,75,19,1,73,311,13,1,19,4,1,18.3,9.3,27.6,15.5,10.7,11.1,1.7,0.1,1.7,28.7,4.1,3.3,3.4,0.3,1.7,1.4,10.8,5,0.9,4.9,1,0.3,0.6,0.1,3.7,6.3,10.1,13.3,34.3,17.2,17.1,379.8,27.7,44.1,257.1,50.8,8.1,1.3,6.9,0.4,0.2,0.1,0.1,0,0.3,0.8,132,182,3.473684211,4.789473684,,,,,,,,,,,,,,,,,,
Queens Park Rangers DL 2014/2015,Queens Park Rangers,Premier League,2014/2015,20,38,8,6,24,30,42,73,-31,42,46.3,70.8,20,0,81,283,23,1,12,3,3,20.6,10.2,30.7,14.8,10.3,11.8,2,0.1,2.1,38,4.2,3.4,3.7,0.4,1.9,1.5,14.1,7.1,1,6,1.1,0.3,0.6,0.2,6.9,8.1,15,12.3,45.6,21.7,23.8,359.5,34.4,44.7,220.1,60.4,10.2,2.1,8.1,0.3,0.1,0,0,0,0.4,0.7,149,209,3.921052632,5.5,,,,,,,,,,,,,,,,,,
Hull DL 2014/2015,Hull,Premier League,2014/2015,18,38,8,11,19,35,33,51,-18,32,45.5,76.5,21,1,73,322,22,2,7,1,1,20.1,9.9,30,15.9,10.6,11.9,1.9,0.2,1.9,34.7,4.1,2.6,2.7,0.2,1.5,1,11.3,4.9,0.6,5.8,0.8,0.1,0.6,0.1,5.1,6.7,11.8,11.7,42.6,21.9,20.7,391.2,30.8,40.9,268.4,51.1,8.2,1.6,6.7,0.3,0.1,0,0,0,0.3,0.6,131,153,3.447368421,4.026315789,,,,,,,,,,,,,,,,,,
Sunderland DL 2014/2015,Sunderland,Premier League,2014/2015,16,38,7,17,14,38,31,53,-22,35,46.2,76.1,18,1,66,318,15,2,9,4,1,20,11.5,31.4,15.2,11.8,11.6,2.5,0.1,1.8,26.2,4.4,3.6,3.7,0.1,1.9,1.7,10.7,5.1,0.8,4.9,0.9,0.2,0.4,0.2,8.1,9,17.1,10.8,30.9,15.3,15.7,380.3,28.5,36.9,261.1,53.8,8,1.5,6.5,0.2,0.1,0,0,0,0.3,0.5,129,191,3.394736842,5.026315789,,,,,,,,,,,,,,,,,,
